student_id,date,homework_completed
10001,2025-03-03,1
10002,2025-03-03,1
10003,2025-03-03,1
10004,2025-03-03,1
10005,2025-03-03,0
10006,2025-03-03,0
10007,2025-03-03,0
10008,2025-03-03,0
10009,2025-03-03,1
10010,2025-03-03,1
10011,2025-03-03,0
10012,2025-03-03,0
10013,2025-03-03,1
10014,2025-03-03,1
10015,2025-03-03,1
10016,2025-03-03,1
10017,2025-03-03,1
10018,2025-03-03,1
10019,2025-03-03,0
10020,2025-03-03,1
10021,2025-03-03,1
10022,2025-03-03,1
10023,2025-03-03,0
10024,2025-03-03,1
10025,2025-03-03,1
10026,2025-03-03,1
10027,2025-03-03,1
10028,2025-03-03,0
10029,2025-03-03,1
10030,2025-03-03,1
10031,2025-03-03,1
10032,2025-03-03,1
10001,2025-03-06,0
10002,2025-03-06,1
10003,2025-03-06,1
10004,2025-03-06,1
10005,2025-03-06,0
10006,2025-03-06,1
10007,2025-03-06,0
10008,2025-03-06,0
10009,2025-03-06,1
10010,2025-03-06,1
10011,2025-03-06,0
10012,2025-03-06,0
10013,2025-03-06,1
10014,2025-03-06,1
10015,2025-03-06,0
10016,2025-03-06,1
10017,2025-03-06,0
10018,2025-03-06,0
10019,2025-03-06,0
10020,2025-03-06,1
10021,2025-03-06,1
10022,2025-03-06,1
10023,2025-03-06,0
10024,2025-03-06,1
10025,2025-03-06,0
10026,2025-03-06,0
10027,2025-03-06,0
10028,2025-03-06,1
10029,2025-03-06,0
10030,2025-03-06,1
10031,2025-03-06,1
10032,2025-03-06,1
10001,2025-03-10,1
10002,2025-03-10,1
10003,2025-03-10,1
10004,2025-03-10,1
10005,2025-03-10,0
10006,2025-03-10,1
10007,2025-03-10,0
10008,2025-03-10,0
10009,2025-03-10,0
10010,2025-03-10,0
10011,2025-03-10,0
10012,2025-03-10,0
10013,2025-03-10,1
10014,2025-03-10,1
10015,2025-03-10,1
10016,2025-03-10,1
10017,2025-03-10,1
10018,2025-03-10,0
10019,2025-03-10,0
10020,2025-03-10,1
10021,2025-03-10,1
10022,2025-03-10,1
10023,2025-03-10,0
10024,2025-03-10,1
10025,2025-03-10,1
10026,2025-03-10,1
10027,2025-03-10,1
10028,2025-03-10,0
10029,2025-03-10,1
10030,2025-03-10,1
10031,2025-03-10,1
10032,2025-03-10,1
10001,2025-03-13,1
10002,2025-03-13,1
10003,2025-03-13,1
10004,2025-03-13,1
10005,2025-03-13,0
10006,2025-03-13,1
10007,2025-03-13,0
10008,2025-03-13,1
10009,2025-03-13,1
10010,2025-03-13,0
10011,2025-03-13,0
10012,2025-03-13,0
10013,2025-03-13,1
10014,2025-03-13,0
10015,2025-03-13,1
10016,2025-03-13,1
10017,2025-03-13,0
10018,2025-03-13,0
10019,2025-03-13,1
10020,2025-03-13,0
10021,2025-03-13,1
10022,2025-03-13,0
10023,2025-03-13,0
10024,2025-03-13,1
10025,2025-03-13,1
10026,2025-03-13,1
10027,2025-03-13,1
10028,2025-03-13,0
10029,2025-03-13,0
10030,2025-03-13,0
10031,2025-03-13,0
10032,2025-03-13,1
30001,2025-03-13,0
30002,2025-03-13,1
30003,2025-03-13,1
30004,2025-03-13,0
30005,2025-03-13,0
30006,2025-03-13,1
30007,2025-03-13,1
30008,2025-03-13,1
30009,2025-03-13,1
30010,2025-03-13,0
30011,2025-03-13,0
30012,2025-03-13,0
30013,2025-03-13,1
30014,2025-03-13,1
30015,2025-03-13,0
30016,2025-03-13,0
30017,2025-03-13,1
30018,2025-03-13,0
30019,2025-03-13,0
30020,2025-03-13,0
30021,2025-03-13,0
30022,2025-03-13,0
